ID,Title,Type,Lat,Long,Location
295,Lbs 4827 4to,Source,65.822148,-20.271544,Árbakki
295,Lbs 4827 4to,Destination,64.135338,-21.89521,Reykjavík
296,Lbs 4940 4to,Source,65.386127,-21.956474,Tjaldanes
296,Lbs 4940 4to,Destination,64.135338,-21.89521,Reykjavík
297,Lbs 229 8vo,Source,64.133333,-21.933333,Reykjavík
297,Lbs 229 8vo,Destination,64.135338,-21.89521,Reykjavík
298,Lbs 2145 8vo,Source,64.845377,-13.967389,Stöð
298,Lbs 2145 8vo,Destination,64.135338,-21.89521,Reykjavík
299,Lbs 2146 8vo,Source,49.88,-97.17,Winnipeg
299,Lbs 2146 8vo,Destination,64.135338,-21.89521,Reykjavík
300,Lbs 2152 8vo,Source,64.954941,-14.16371,Dalir
300,Lbs 2152 8vo,Destination,64.135338,-21.89521,Reykjavík
301,Lbs 2207 8vo,Source,49.88,-97.17,Winnipeg
301,Lbs 2207 8vo,Destination,64.135338,-21.89521,Reykjavík
302,Lbs 2421 8vo,Source,65.432998,-23.02065,Hergilsey
302,Lbs 2421 8vo,Destination,64.135338,-21.89521,Reykjavík
303,Lbs 2503 8vo,Source,65.061003,-21.457255,Núpur
303,Lbs 2503 8vo,Destination,64.135338,-21.89521,Reykjavík
304,Lbs 2894 8vo,Source,65.061003,-21.457255,Núpur
304,Lbs 2894 8vo,Destination,64.135338,-21.89521,Reykjavík
305,MS 21.2.9,Source,55.675,12.5687,Copenhagen
305,MS 21.2.9,Destination,55.953252,-3.188267,Edinburgh
306,MS 21.4.17,Source,65.83676,-17.472925,Rauðskriða 1
306,MS 21.4.17,Destination,55.953252,-3.188267,Edinburgh
307,MS 21.5.2,Source,55.675,12.5687,Copenhagen
307,MS 21.5.2,Destination,55.953252,-3.188267,Edinburgh
308,Ms Boreal 116,Source,55.675,12.5687,Copenhagen
308,Ms Boreal 116,Destination,51.752021,-1.257726,Oxford
309,Ms Boreal 119,Source,55.675,12.5687,Copenhagen
309,Ms Boreal 119,Destination,51.752021,-1.257726,Oxford
310,Ms Boreal 128,Source,55.675,12.5687,Copenhagen
310,Ms Boreal 128,Destination,51.752021,-1.257726,Oxford
311,Ms Germ qu. 936,Source,51.533889,9.935556,Goettingen
311,Ms Germ qu. 936,Destination,52.520007,13.404954,Berlin
312,Mss. philol. 78,Source,59.35,18.066667,Stockholm
312,Mss. philol. 78,Destination,54.083419,12.100429,Rostock
313,NKS 1151 fol.,Source,55.675,12.5687,Copenhagen
313,NKS 1151 fol.,Destination,55.676097,12.568337,København
314,NKS 1155 fol.,Source,55.675,12.5687,Copenhagen
314,NKS 1155 fol.,Destination,55.676097,12.568337,København
315,NKS 1157 fol.,Source,55.675,12.5687,Copenhagen
315,NKS 1157 fol.,Destination,55.676097,12.568337,København
316,NKS 1158 fol.,Source,55.675,12.5687,Copenhagen
316,NKS 1158 fol.,Destination,55.676097,12.568337,København
317,NKS 1161 fol.,Source,55.675,12.5687,Copenhagen
317,NKS 1161 fol.,Destination,55.676097,12.568337,København
318,NKS 1178 fol.,Source,55.675,12.5687,Copenhagen
318,NKS 1178 fol.,Destination,55.676097,12.568337,København
319,NKS 1179 fol.,Source,55.675,12.5687,Copenhagen
319,NKS 1179 fol.,Destination,55.676097,12.568337,København
320,NKS 1184 fol.,Source,55.675,12.5687,Copenhagen
320,NKS 1184 fol.,Destination,55.676097,12.568337,København
321,NKS 1187 fol.,Source,55.675,12.5687,Copenhagen
321,NKS 1187 fol.,Destination,55.676097,12.568337,København
322,NKS 1189 fol.,Source,55.675,12.5687,Copenhagen
322,NKS 1189 fol.,Destination,55.676097,12.568337,København
323,NKS 1204 fol.,Source,55.675,12.5687,Copenhagen
323,NKS 1204 fol.,Destination,55.676097,12.568337,København
324,NKS 1205 fol.,Source,55.675,12.5687,Copenhagen
324,NKS 1205 fol.,Destination,55.676097,12.568337,København
325,NKS 1223 fol.,Source,55.675,12.5687,Copenhagen
325,NKS 1223 fol.,Destination,55.676097,12.568337,København
326,NKS 1228 fol.,Source,55.675,12.5687,Copenhagen
326,NKS 1228 fol.,Destination,55.676097,12.568337,København
327,NKS 1229 fol.,Source,55.675,12.5687,Copenhagen
327,NKS 1229 fol.,Destination,55.676097,12.568337,København
328,NKS 1230 fol.,Source,55.675,12.5687,Copenhagen
328,NKS 1230 fol.,Destination,55.676097,12.568337,København
329,NKS 1245 fol.,Source,55.675,12.5687,Copenhagen
329,NKS 1245 fol.,Destination,55.676097,12.568337,København
330,NKS 1251 fol.,Source,55.675,12.5687,Copenhagen
330,NKS 1251 fol.,Destination,55.676097,12.568337,København
331,NKS 1264 fol.,Source,55.675,12.5687,Copenhagen
331,NKS 1264 fol.,Destination,55.676097,12.568337,København
332,NKS 635 4to,Source,55.675,12.5687,Copenhagen
332,NKS 635 4to,Destination,55.676097,12.568337,København
333,NKS 906 4to,Source,55.675,12.5687,Copenhagen
333,NKS 906 4to,Destination,55.676097,12.568337,København
334,NKS 908 4to,Source,55.675,12.5687,Copenhagen
334,NKS 908 4to,Destination,55.676097,12.568337,København
335,NKS 909 4to,Source,55.675,12.5687,Copenhagen
335,NKS 909 4to,Destination,55.676097,12.568337,København
336,NKS 1689 4to,Source,55.675,12.5687,Copenhagen
336,NKS 1689 4to,Destination,55.676097,12.568337,København
337,NKS 1693 4to,Source,55.675,12.5687,Copenhagen
337,NKS 1693 4to,Destination,55.676097,12.568337,København
338,NKS 1698 4to,Source,55.675,12.5687,Copenhagen
338,NKS 1698 4to,Destination,55.676097,12.568337,København
339,NKS 1700 4to,Source,55.675,12.5687,Copenhagen
339,NKS 1700 4to,Destination,55.676097,12.568337,København
340,NKS 1701 4to,Source,55.675,12.5687,Copenhagen
340,NKS 1701 4to,Destination,55.676097,12.568337,København
341,NKS 1704 4to,Source,55.675,12.5687,Copenhagen
341,NKS 1704 4to,Destination,55.676097,12.568337,København
342,NKS 1706 4to,Source,55.675,12.5687,Copenhagen
342,NKS 1706 4to,Destination,55.676097,12.568337,København
343,NKS 1707 4to,Source,55.675,12.5687,Copenhagen
343,NKS 1707 4to,Destination,55.676097,12.568337,København
344,NKS 1709 4to,Source,55.675,12.5687,Copenhagen
344,NKS 1709 4to,Destination,55.676097,12.568337,København
345,NKS 1711 4to,Source,55.675,12.5687,Copenhagen
345,NKS 1711 4to,Destination,55.676097,12.568337,København
346,NKS 1713 4to,Source,55.675,12.5687,Copenhagen
